Noise,Binning,Bins,Feature Selection,Features Used,Classifier,accuracy mean,precision mean,recall mean,f1 mean,roc_auc mean,accuracy std,precision std,recall std,f1 std,roc_auc std
0.0,none,none,frfs,20,random_forest,0.9686261646176747,0.9704768154125452,0.8220588235294117,0.8893200064022592,0.9866268278488031,0.005742761394472104,0.015300219050285772,0.04752093814956966,0.023117086967729385,0.0034517968492951906
0.0,none,none,frfs,20,xgboost,0.9783261664553357,0.9587497585097667,0.8987146827234831,0.9270986784796098,0.9952918413032144,0.007789184359708644,0.027921502528205785,0.04664349512284758,0.02782145199411209,0.0017779631632671533
0.0,none,none,frfs,20,svm,0.8522299097708437,0.21551724137931033,0.04921259842519685,0.08012820512820513,0.807996181059844,0.012807654894303818,0.43103448275862066,0.0984251968503937,0.16025641025641027,0.022953890194995018
0.0,none,none,frfs,20,logistic_regression,0.8607166877997685,0.604988907489843,0.27239848695383667,0.3738901899561012,0.8242936887446116,0.008244226960557042,0.04729649887458051,0.06040965489692723,0.061927172752333094,0.02028987651881158
0.0,static,2,frfs,20,random_forest,0.9086104526159106,0.7590075420628537,0.5998070094179404,0.6697369712236478,0.8985296505100566,0.010462484081277961,0.057991084048829765,0.0153934088744018,0.031303564976580586,0.023189065822618978
0.0,static,2,frfs,20,xgboost,0.9101249609497032,0.7979084632173635,0.5614906592558283,0.6573097774341525,0.9133075268113193,0.011534654590584269,0.055328585848669135,0.061336223433776274,0.04828239471940229,0.022221110996004153
0.0,static,2,frfs,20,svm,0.8484381718948123,0.13742690058479531,0.09251968503937008,0.11058823529411765,0.7780452441689072,0.005289168029469885,0.27485380116959063,0.18503937007874016,0.2211764705882353,0.02468519222070207
0.0,static,2,frfs,20,logistic_regression,0.8708700406123087,0.6605579185166871,0.33627064999228035,0.4450000390149505,0.8179287148238666,0.003315181688596829,0.02954855194214288,0.02234614406993115,0.018772969155518262,0.02522143851893044
0.0,static,4,frfs,20,random_forest,0.9445289155962291,0.8738990633531409,0.7492975142813031,0.8057545176621943,0.9576685998713497,0.005453109237569059,0.02129622447138835,0.050495886921775625,0.024892712573548224,0.011003833332527694
0.0,static,4,frfs,20,xgboost,0.9452869507690611,0.8676639517051414,0.7620812104369307,0.8105365024888724,0.9721737340564639,0.006551327902197889,0.02232583687384442,0.05020474079562712,0.02736370547525477,0.0039009176968885654
0.0,static,4,frfs,20,svm,0.8458624143190547,0.0,0.0,0.0,0.761465506384835,0.00027545067616615323,0.0,0.0,0.0,0.026242773012775517
0.0,static,4,frfs,20,logistic_regression,0.8673836301155889,0.6676797161172161,0.28219854871082295,0.39610439293129474,0.7874100169087981,0.006100836024599769,0.06357668024438068,0.019030560864458076,0.023620719329152537,0.016617370381845405
0.0,static,10,frfs,20,random_forest,0.9643829134277891,0.9241375444717665,0.8377759765323453,0.8785113037523524,0.9808053352609614,0.005719447352007027,0.011266206595670302,0.037284710399679837,0.02170759012852069,0.008411328641607896
0.0,static,10,frfs,20,xgboost,0.9710514177554809,0.9317162754429835,0.8761309248108692,0.9027559621942833,0.9927698883138244,0.008696107251462595,0.01535522177620252,0.04741217913526696,0.030966932690624352,0.0034095265524494846
0.0,static,10,frfs,20,svm,0.8784480033812962,0.7897840160270206,0.29005326540064846,0.4232994605533148,0.8292407847065446,0.005433046113410355,0.05720496368674525,0.02965590418166798,0.03393963882404818,0.00547994582569004
0.0,static,10,frfs,20,logistic_regression,0.8732951099840124,0.6904753456562098,0.3353134167052648,0.44935303134885296,0.8412379013609306,0.008667798600235489,0.08889117416439989,0.023722201379476667,0.021746552421164557,0.0067941788246046846
0.0,static,50,frfs,20,random_forest,0.97014232684639,0.9592117793179114,0.8427049559981473,0.8967106616868534,0.9881349740520098,0.0045756194545279105,0.02073847167073503,0.034247805709009475,0.017288799125802758,0.004573933867164273
0.0,static,50,frfs,20,xgboost,0.9821152397228807,0.956802454276035,0.9262505789717461,0.9409433817219455,0.9957432592033221,0.006653410081167769,0.026450869496092835,0.03347302806244488,0.022592904189979224,0.0012488835942970527
0.0,static,50,frfs,20,svm,0.8590522263263318,0.36325520833333336,0.14271653543307086,0.20202024220627318,0.8118315360923597,0.015403154745012675,0.4211896471406995,0.17125984251968504,0.2370262557214049,0.025544061866123468
0.0,static,50,frfs,20,logistic_regression,0.862990242019957,0.6056221763069388,0.3147020225413,0.4121356183928382,0.8291050908720665,0.008010015763540938,0.03854271357755465,0.06448698514081708,0.06048142225370419,0.017929859660232705
0.0,quantile,2,frfs,20,random_forest,0.9202792325927559,0.8178284443056321,0.6214180947969739,0.7061927413358569,0.9085017164517477,0.006824383392030553,0.03289228557757901,0.019275837504829505,0.02435944840353188,0.021313766778646874
0.0,quantile,2,frfs,20,xgboost,0.9193702335667163,0.7939640269081594,0.645051721475992,0.7115420969740919,0.9228147978392703,0.003183152747209951,0.023361053159599906,0.012719821717835495,0.008050561440324682,0.01844174981973062
0.0,quantile,2,frfs,20,svm,0.855716871565871,0.4467592592592593,0.08661417322834646,0.12323989079261347,0.789015779404779,0.018592217685838127,0.5231481481481481,0.16544804243661965,0.23117769558890236,0.06327655856660502
0.0,quantile,2,frfs,20,logistic_regression,0.8786008048955289,0.74854790913874,0.3215647676393392,0.4478541953902593,0.8263651554533105,0.004767004043589417,0.03061508116953339,0.04965997177313497,0.044859429241940696,0.030488485064837027
0.0,quantile,4,frfs,20,random_forest,0.9531673006597203,0.9106580935103588,0.7728848232206268,0.8352179271657056,0.9751258660688974,0.004710705787560731,0.018818573286993892,0.046453355704793226,0.02157836199402026,0.0058535373530027805
0.0,quantile,4,frfs,20,xgboost,0.9580174394031278,0.8915486402109742,0.8299212598425196,0.8588186382032499,0.9827553339765773,0.004184810005528381,0.027439721606514613,0.03974103452813371,0.016020234317171186,0.0074482830523412615
0.0,quantile,4,frfs,20,svm,0.8458624143190547,0.0,0.0,0.0,0.6899301307873892,0.00027545067616615323,0.0,0.0,0.0,0.07666210321545182
0.0,quantile,4,frfs,20,logistic_regression,0.8587452450520977,0.64758352279904,0.1799058205959549,0.28007027696249587,0.788459720818303,0.007032502377661383,0.06801216725980777,0.04673803186934888,0.06185821149762221,0.018383159502271387
0.0,quantile,8,frfs,20,random_forest,0.9602895234944961,0.9308802709626173,0.8023815037826154,0.8612150259141255,0.9766986173405976,0.0068431859473447,0.021408232955446357,0.04615211561771524,0.026366705531404556,0.0077079937344404145
0.0,quantile,8,frfs,20,xgboost,0.9681717110461805,0.9304256841102085,0.8584221090010807,0.8924636890253835,0.9895597385583891,0.0043632146346604525,0.022985822640390376,0.033772976905216946,0.016274707488463623,0.004108591820792326
0.0,quantile,8,frfs,20,svm,0.8458624143190547,0.0,0.0,0.0,0.608410931590725,0.00027545067616615323,0.0,0.0,0.0,0.06042966200482106
0.0,quantile,8,frfs,20,logistic_regression,0.8469230203796608,0.5050131215705648,0.16819129226493745,0.25101222516316857,0.8002856315090108,0.005022957013195791,0.046345848070304715,0.04556057635811429,0.057255873668007995,0.014784359102406847
0.0,quantile,16,frfs,20,random_forest,0.9624116544462209,0.9421956148987898,0.8062914929751428,0.8685764462438297,0.9823762336002957,0.007499843254106761,0.0364094073839717,0.03237565829089868,0.02670512464553342,0.00595175928054335
0.0,quantile,16,frfs,20,xgboost,0.9715052281456162,0.9417221015115509,0.8692141423498533,0.9035606788296958,0.9922236200071185,0.007399663225276545,0.02360894213897877,0.042603939987650184,0.026871559904492952,0.0040267225737346014
0.0,quantile,16,frfs,20,svm,0.8458624143190547,0.0,0.0,0.0,0.6245846543667604,0.00027545067616615323,0.0,0.0,0.0,0.07220725215611556
0.0,quantile,16,frfs,20,logistic_regression,0.8444980428910084,0.4822075569358178,0.16917554423344142,0.24942072665751222,0.805866078117596,0.004997728938487551,0.04827252087551811,0.04307196998639777,0.05383605225164789,0.01829415230203842
0.0,kmeans,2,frfs,20,random_forest,0.9061833618170791,0.8032787188426382,0.5181797128300138,0.6298957915974095,0.8950817269677376,0.005302004634405597,0.025528156579365947,0.022215219586241997,0.02314943023424603,0.007413397804818113
0.0,kmeans,2,frfs,20,xgboost,0.9069413969899112,0.8135808558528081,0.5142504245792805,0.6298832546323087,0.9023740576018023,0.0022469058333006685,0.008018282017448655,0.023024705299365494,0.01614979454805847,0.003112630263219825
0.0,kmeans,2,frfs,20,svm,0.8673841814138964,0.6378124155379827,0.4110737995985796,0.48984331859883695,0.8043944207210973,0.02118816161941423,0.1472995505560519,0.04579531490071242,0.023469242164912134,0.011313987193447294
0.0,kmeans,2,frfs,20,logistic_regression,0.874962879247294,0.6835772680036138,0.35497143739385517,0.46583168519069973,0.8302859806693296,0.012116321943720266,0.08597209603983913,0.05358352617705681,0.05853262909724333,0.010081017651742328
0.0,kmeans,4,frfs,20,random_forest,0.9524087141885809,0.8829733961393798,0.7974486645051722,0.8376902053782094,0.9735368891265465,0.005074358162963379,0.024098609303703177,0.02914528307462809,0.018510334021093346,0.011348038092165724
0.0,kmeans,4,frfs,20,xgboost,0.955592002499219,0.8766407357336193,0.829909680407596,0.8520086287563886,0.9839659915330436,0.002785471298632881,0.026603375324075453,0.030579540364460988,0.010107880832260666,0.005874069154696035
0.0,kmeans,4,frfs,20,svm,0.8528363379091093,0.1792452830188679,0.07480314960629922,0.10555555555555556,0.7565102024821726,0.01402027140774388,0.3584905660377359,0.14960629921259844,0.2111111111111111,0.07734636996700753
0.0,kmeans,4,frfs,20,logistic_regression,0.8626868441847216,0.672063368071797,0.22221321599505944,0.32991625078264847,0.8133073534188813,0.0046362479181119975,0.06181085972614185,0.05359169147039324,0.05744132672086351,0.03950371115892385
0.0,kmeans,8,frfs,20,random_forest,0.948468585184777,0.9094966215006692,0.7394318357264166,0.8156189195643545,0.9745598150967918,0.006704514944385051,0.02954095499468343,0.022548627148399943,0.023905543324877647,0.00927615714443247
0.0,kmeans,8,frfs,20,xgboost,0.9593806163515077,0.8987467436201737,0.8298788019144665,0.8626636581881255,0.9864437782944537,0.007334320982019405,0.01870259783724343,0.03987783221643717,0.027279134322606428,0.004005962579326431
0.0,kmeans,8,frfs,20,svm,0.8458624143190547,0.0,0.0,0.0,0.6798626248507015,0.00027545067616615323,0.0,0.0,0.0,0.07225162093346889
